"","SampleNumber","Well_Type","Parcel_ID","Site_Address","SampleID","Field.Duplicate..Y.N.","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTriA","PFTeA","PFHxDA","PFODA","PFBS","PFPeS","PFHxS","PFHpS","PFOS","PFNS","PFDS","PFDoS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X10.2.FTSA","FOSA","NMeFOSA","NEtFOSA","NMeFOSAA","NEtFOSAA","NMeFOSE","NEtFOSE","HFPO.DA","DONA","X9Cl.PF3ONS","X11Cl.PF3OUdS","SUM_PFOS_PFOA","SUM_FOSA_NEtFOSE_NEtFOSA_NetFOSAA_PFOS_PFOA","Exceedance_RES","Exceedance_PAL","HI","No_Detections","X","Latitude","Longitude"
"1","1001","Private","4-01646-000","1006 HANSON ROAD","PWS1001-OS-042821-100","N",6,-999,0.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.87,-999,0.6,-999,1.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.9,1.9,"N","N",0.11,"N",NA,43.8829788,-91.2742658
"2","1002","Private","4-01461-000","1009 HANSON ROAD","PWS1002-OS-041921-100","N",2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.81,-999,-999,-999,0.97,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.97,0.97,"N","N",0.05,"N",NA,43.8833912,-91.2740778
"3","1003","Private","4-01692-000","3107 EDGEWATER DRIVE","PWS1003-IS-042021-100","N",14,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,7.9,1,2.6,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,14,"N","Y",0.77,"N",NA,43.8798938,-91.2749991
"4","1004","Private","4-01799-000","3107 LAKESHORE DRIVE","PWS1004-OS-041921-100","N",25,1,1.5,1,8,1,-999,-999,-999,-999,-999,-999,-999,2.1,0,1.9,0,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.6,20.6,"Y","Y",1.1,"N",NA,43.8800947,-91.2703363
"5","1005","Private","4-01801-000","3115 LAKESHORE DRIVE","PWS1005-OS-042721-100","N",14,-999,0.54,-999,2,0,1,-999,-999,-999,-999,-999,-999,3.9,0,1.6,-999,9.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.9,10.9,"N","Y",0.6,"N",NA,43.8805238,-91.2703175
"6","1005","Private","4-01801-000","3115 LAKESHORE DRIVE","PWS-FD01-042721","Y",15,-999,0.55,-999,1.6,0.42,0.51,-999,-999,-999,-999,-999,-999,4.2,0.3,1.6,-999,9.4,-999,-999,-999,-999,-999,-999,-999,0.98,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11,11.98,"N","Y",0.66,"N",NA,43.8805238,-91.2703175
"7","1006","Private","4-01820-000","3114 YOUNGDALE AVENUE","PWS1006-OS-042021-100","N",13,-999,-999,-999,1,1,-999,-999,-999,-999,-999,-999,-999,5.2,1,2,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.3,13.3,"N","Y",0.74,"N",NA,43.8804602,-91.2710132
"8","1007","Private","4-01823-000","731 LANCASTER STREET","PWS1007-OS-042121-100","N",17,-999,-999,-999,2,1,-999,-999,-999,-999,-999,-999,-999,4.6,0,1.4,-999,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.8,11.8,"N","Y",0.65,"N",NA,43.8798085,-91.2709191
"9","1008","Private","4-01857-000","801 LANCASTER STREET","PWS1008-OS-041921-100","N",17,-999,-999,-999,3,1,-999,-999,-999,-999,-999,-999,-999,5,0,1.8,-999,10,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13.2,14.15,"N","Y",0.77,"N",NA,43.8798383,-91.271596
"10","1008","Private","4-01857-000","801 LANCASTER STREET","PWS-FD01-041921","Y",18,-999,-999,-999,3.1,0.44,-999,-999,-999,-999,-999,-999,-999,5.7,0.57,2.1,-999,11,-999,-999,-999,-999,-999,-999,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.1,15.5,"N","Y",0.84,"N",NA,43.8798383,-91.271596
